u_alert_id,created_on,message,severity
alert_001,2024-09-27 21:28:00,Mensagem simulada 1 para alert_001,low
alert_001,2024-09-28 03:28:00,Mensagem simulada 2 para alert_001,low
alert_001,2024-09-29 04:28:00,Mensagem simulada 3 para alert_001,high
alert_001,2024-09-30 17:28:00,Mensagem simulada 4 para alert_001,medium
alert_001,2024-10-01 19:28:00,Mensagem simulada 5 para alert_001,high
alert_001,2024-10-02 07:28:00,Mensagem simulada 6 para alert_001,high
alert_001,2024-10-03 19:28:00,Mensagem simulada 7 para alert_001,medium
alert_001,2024-10-05 00:28:00,Mensagem simulada 8 para alert_001,high
alert_001,2024-10-05 11:28:00,Mensagem simulada 9 para alert_001,low
alert_001,2024-10-05 18:28:00,Mensagem simulada 10 para alert_001,low
alert_001,2024-10-06 19:28:00,Mensagem simulada 11 para alert_001,high
alert_001,2024-10-06 22:28:00,Mensagem simulada 12 para alert_001,high
alert_001,2024-10-08 10:28:00,Mensagem simulada 13 para alert_001,high
alert_001,2024-10-10 07:28:00,Mensagem simulada 14 para alert_001,low
alert_001,2024-10-10 15:28:00,Mensagem simulada 15 para alert_001,medium
alert_001,2024-10-11 15:28:00,Mensagem simulada 16 para alert_001,high
alert_001,2024-10-12 09:28:00,Mensagem simulada 17 para alert_001,low
alert_001,2024-10-14 01:28:00,Mensagem simulada 18 para alert_001,low
alert_001,2024-10-15 17:28:00,Mensagem simulada 19 para alert_001,high
alert_001,2024-10-17 11:28:00,Mensagem simulada 20 para alert_001,high
alert_001,2024-10-17 23:28:00,Mensagem simulada 21 para alert_001,medium
alert_001,2024-10-19 06:28:00,Mensagem simulada 22 para alert_001,low
alert_001,2024-10-20 14:28:00,Mensagem simulada 23 para alert_001,low
alert_001,2024-10-22 02:28:00,Mensagem simulada 24 para alert_001,medium
alert_001,2024-10-24 01:28:00,Mensagem simulada 25 para alert_001,high
alert_001,2024-10-25 07:28:00,Mensagem simulada 26 para alert_001,low
alert_001,2024-10-26 22:28:00,Mensagem simulada 27 para alert_001,high
alert_001,2024-10-28 05:28:00,Mensagem simulada 28 para alert_001,medium
alert_001,2024-10-28 13:28:00,Mensagem simulada 29 para alert_001,high
alert_001,2024-10-29 21:28:00,Mensagem simulada 30 para alert_001,medium
alert_001,2024-10-29 22:28:00,Mensagem simulada 31 para alert_001,low
alert_001,2024-10-31 16:28:00,Mensagem simulada 32 para alert_001,medium
alert_001,2024-11-02 12:28:00,Mensagem simulada 33 para alert_001,high
alert_001,2024-11-02 23:28:00,Mensagem simulada 34 para alert_001,medium
alert_001,2024-11-04 15:28:00,Mensagem simulada 35 para alert_001,low
alert_001,2024-11-06 11:28:00,Mensagem simulada 36 para alert_001,high
alert_001,2024-11-06 14:28:00,Mensagem simulada 37 para alert_001,low
alert_001,2024-11-06 15:28:00,Mensagem simulada 38 para alert_001,medium
alert_001,2024-11-06 23:28:00,Mensagem simulada 39 para alert_001,medium
alert_001,2024-11-07 18:28:00,Mensagem simulada 40 para alert_001,low
alert_001,2024-11-08 06:28:00,Mensagem simulada 41 para alert_001,high
alert_001,2024-11-09 23:28:00,Mensagem simulada 42 para alert_001,high
alert_001,2024-11-11 00:28:00,Mensagem simulada 43 para alert_001,low
alert_001,2024-11-11 17:28:00,Mensagem simulada 44 para alert_001,medium
alert_001,2024-11-12 15:28:00,Mensagem simulada 45 para alert_001,high
alert_001,2024-11-13 07:28:00,Mensagem simulada 46 para alert_001,medium
alert_001,2024-11-14 07:28:00,Mensagem simulada 47 para alert_001,high
alert_001,2024-11-15 17:28:00,Mensagem simulada 48 para alert_001,high
alert_001,2024-11-17 11:28:00,Mensagem simulada 49 para alert_001,medium
alert_001,2024-11-19 09:28:00,Mensagem simulada 50 para alert_001,high
alert_001,2024-11-20 10:28:00,Mensagem simulada 51 para alert_001,low
alert_001,2024-11-21 05:28:00,Mensagem simulada 52 para alert_001,high
alert_001,2024-11-23 02:28:00,Mensagem simulada 53 para alert_001,high
alert_001,2024-11-23 09:28:00,Mensagem simulada 54 para alert_001,high
alert_001,2024-11-24 21:28:00,Mensagem simulada 55 para alert_001,high
alert_001,2024-11-26 08:28:00,Mensagem simulada 56 para alert_001,low
alert_001,2024-11-26 22:28:00,Mensagem simulada 57 para alert_001,medium
alert_001,2024-11-28 15:28:00,Mensagem simulada 58 para alert_001,medium
alert_001,2024-11-29 13:28:00,Mensagem simulada 59 para alert_001,high
alert_001,2024-12-01 06:28:00,Mensagem simulada 60 para alert_001,medium
alert_001,2024-12-02 22:28:00,Mensagem simulada 61 para alert_001,low
alert_001,2024-12-03 19:28:00,Mensagem simulada 62 para alert_001,low
alert_001,2024-12-04 03:28:00,Mensagem simulada 63 para alert_001,medium
alert_001,2024-12-04 18:28:00,Mensagem simulada 64 para alert_001,low
alert_001,2024-12-06 12:28:00,Mensagem simulada 65 para alert_001,medium
alert_001,2024-12-06 18:28:00,Mensagem simulada 66 para alert_001,medium
alert_001,2024-12-07 06:28:00,Mensagem simulada 67 para alert_001,high
alert_001,2024-12-08 10:28:00,Mensagem simulada 68 para alert_001,medium
alert_001,2024-12-08 23:28:00,Mensagem simulada 69 para alert_001,medium
alert_001,2024-12-10 13:28:00,Mensagem simulada 70 para alert_001,high
alert_001,2024-12-12 06:28:00,Mensagem simulada 71 para alert_001,low
alert_001,2024-12-14 05:28:00,Mensagem simulada 72 para alert_001,medium
alert_001,2024-12-16 05:28:00,Mensagem simulada 73 para alert_001,low
alert_001,2024-12-16 08:28:00,Mensagem simulada 74 para alert_001,high
alert_001,2024-12-17 09:28:00,Mensagem simulada 75 para alert_001,medium
alert_001,2024-12-19 01:28:00,Mensagem simulada 76 para alert_001,low
alert_001,2024-12-19 19:28:00,Mensagem simulada 77 para alert_001,low
alert_001,2024-12-20 01:28:00,Mensagem simulada 78 para alert_001,medium
alert_001,2024-12-21 12:28:00,Mensagem simulada 79 para alert_001,high
alert_001,2024-12-22 11:28:00,Mensagem simulada 80 para alert_001,medium
alert_001,2024-12-22 15:28:00,Mensagem simulada 81 para alert_001,medium
alert_001,2024-12-23 21:28:00,Mensagem simulada 82 para alert_001,medium
alert_001,2024-12-24 05:28:00,Mensagem simulada 83 para alert_001,high
alert_001,2024-12-25 13:28:00,Mensagem simulada 84 para alert_001,low
alert_001,2024-12-25 19:28:00,Mensagem simulada 85 para alert_001,high
alert_001,2024-12-26 06:28:00,Mensagem simulada 86 para alert_001,low
alert_001,2024-12-28 05:28:00,Mensagem simulada 87 para alert_001,medium
alert_001,2024-12-29 04:28:00,Mensagem simulada 88 para alert_001,medium
alert_001,2024-12-29 21:28:00,Mensagem simulada 89 para alert_001,medium
alert_001,2024-12-30 06:28:00,Mensagem simulada 90 para alert_001,medium
alert_001,2024-12-31 21:28:00,Mensagem simulada 91 para alert_001,medium
alert_001,2025-01-02 05:28:00,Mensagem simulada 92 para alert_001,low
alert_001,2025-01-03 16:28:00,Mensagem simulada 93 para alert_001,low
alert_001,2025-01-05 09:28:00,Mensagem simulada 94 para alert_001,medium
alert_001,2025-01-06 17:28:00,Mensagem simulada 95 para alert_001,medium
alert_001,2025-01-07 02:28:00,Mensagem simulada 96 para alert_001,medium
alert_001,2025-01-08 08:28:00,Mensagem simulada 97 para alert_001,medium
alert_001,2025-01-09 04:28:00,Mensagem simulada 98 para alert_001,high
alert_001,2025-01-10 08:28:00,Mensagem simulada 99 para alert_001,high
alert_001,2025-01-11 09:28:00,Mensagem simulada 100 para alert_001,medium
alert_001,2025-01-12 21:28:00,Mensagem simulada 101 para alert_001,low
alert_001,2025-01-14 09:28:00,Mensagem simulada 102 para alert_001,medium
alert_001,2025-01-14 22:28:00,Mensagem simulada 103 para alert_001,low
alert_001,2025-01-16 07:28:00,Mensagem simulada 104 para alert_001,high
alert_001,2025-01-17 21:28:00,Mensagem simulada 105 para alert_001,low
alert_001,2025-01-18 11:28:00,Mensagem simulada 106 para alert_001,high
alert_001,2025-01-20 05:28:00,Mensagem simulada 107 para alert_001,high
alert_001,2025-01-21 03:28:00,Mensagem simulada 108 para alert_001,low
alert_001,2025-01-22 08:28:00,Mensagem simulada 109 para alert_001,low
alert_001,2025-01-23 04:28:00,Mensagem simulada 110 para alert_001,low
alert_001,2025-01-23 16:28:00,Mensagem simulada 111 para alert_001,low
alert_001,2025-01-24 07:28:00,Mensagem simulada 112 para alert_001,high
alert_001,2025-01-24 20:28:00,Mensagem simulada 113 para alert_001,high
alert_001,2025-01-26 15:28:00,Mensagem simulada 114 para alert_001,medium
alert_001,2025-01-27 12:28:00,Mensagem simulada 115 para alert_001,low
alert_001,2025-01-28 17:28:00,Mensagem simulada 116 para alert_001,high
alert_001,2025-01-29 09:28:00,Mensagem simulada 117 para alert_001,high
alert_001,2025-01-29 15:28:00,Mensagem simulada 118 para alert_001,low
alert_001,2025-01-29 17:28:00,Mensagem simulada 119 para alert_001,high
alert_001,2025-01-29 23:28:00,Mensagem simulada 120 para alert_001,low
alert_001,2025-01-30 13:28:00,Mensagem simulada 121 para alert_001,medium
alert_001,2025-01-30 19:28:00,Mensagem simulada 122 para alert_001,medium
alert_001,2025-02-01 12:28:00,Mensagem simulada 123 para alert_001,medium
alert_001,2025-02-02 05:28:00,Mensagem simulada 124 para alert_001,low
alert_001,2025-02-03 18:28:00,Mensagem simulada 125 para alert_001,medium
alert_001,2025-02-05 11:28:00,Mensagem simulada 126 para alert_001,medium
alert_001,2025-02-06 21:28:00,Mensagem simulada 127 para alert_001,medium
alert_001,2025-02-08 17:28:00,Mensagem simulada 128 para alert_001,medium
alert_001,2025-02-10 12:28:00,Mensagem simulada 129 para alert_001,medium
alert_001,2025-02-11 16:28:00,Mensagem simulada 130 para alert_001,low
alert_001,2025-02-12 09:28:00,Mensagem simulada 131 para alert_001,low
alert_001,2025-02-12 19:28:00,Mensagem simulada 132 para alert_001,high
alert_001,2025-02-14 03:28:00,Mensagem simulada 133 para alert_001,medium
alert_001,2025-02-15 22:28:00,Mensagem simulada 134 para alert_001,medium
alert_001,2025-02-17 20:28:00,Mensagem simulada 135 para alert_001,high
alert_001,2025-02-18 08:28:00,Mensagem simulada 136 para alert_001,medium
